CPI,CPI_year,CPI_month
5.62842305345272,2007,8
6.04968421147627,2007,9
5.42592974464018,2007,10
5.3141544545795,2007,11
4.63066990604393,2007,12
4.7319364048571,2008,1
5.27367771751479,2008,2
6.05427995147037,2008,3
7.91787293783815,2008,4
8.26802848657377,2008,5
10.0982016037937,2008,6
10.6948070721927,2008,7
11.8513026503791,2008,8
12.4933363951984,2008,9
13.2806306349795,2008,10
13.7263925395827,2008,11
13.4285415655538,2008,12
13.7734140945575,2009,1
13.2016043674226,2009,2
12.8215216964207,2009,3
11.5802212230838,2009,4
12.4380141379849,2009,5
11.9754102654284,2009,6
11.0874239816985,2009,7
10.1332205489537,2009,8
9.18372233652719,2009,9
8.60974810988356,2009,10
9.14727571966269,2009,11
10.3230814368829,2009,12
10.7179881764226,2010,1
10.9507702200908,2010,2
9.96162400848158,2010,3
9.771551288024,2010,4
8.87156438853173,2010,5
8.24620034551397,2010,6
9.02607497234277,2010,7
9.50167802001756,2010,8
8.57412527673507,2010,9
8.75536655262305,2010,10
8.3832979040738,2010,11
9.46848313068491,2010,12
11.2554751566592,2011,1
10.1050578911544,2011,2
10.5892415122888,2011,3
10.5771582883558,2011,4
9.36920241222114,2011,5
8.6920466997555,2011,6
9.58219725209451,2011,7
7.65614506380118,2011,8
8.51206434316351,2011,9
8.92143808255659,2011,10
8.42733908427334,2011,11
7.51978891820582,2011,12
6.77083333333337,2012,1
7.05882352941169,2012,2
7.04500978473586,2012,3
7.51295336787558,2012,4
8.73786407766987,2012,5
9.94832041343675,2012,6
11.4754098360657,2012,7
11.8527760449159,2012,8
11.2415071031501,2012,9
10.5134474327628,2012,10
10.4651162790698,2012,11
10.3680981595092,2012,12
9.81707317073176,2013,1
10.0732600732602,2013,2
10.237659963437,2013,3
9.45783132530124,2013,4
8.69047619047624,2013,5
8.22561692126905,2013,6
7.74886877828049,2013,7
7.8639152258783,2013,8
7.94003331482508,2013,9
8.4070796460177,2013,10
9.97229916897511,2013,11
10.2834908282379,2013,12
9.71682398667411,2014,1
8.76317249029388,2014,2
8.84466556108342,2014,3
9.46615299944959,2014,4
9.74808324205912,2014,5
9.44625407166127,2014,6
8.08398950131229,2014,7
7.49741468459157,2014,8
7.56172839506174,2014,9
7.50000000000002,2014,10
7.15365239294711,2014,11
7.05645161290329,2014,12
6.88259109311735,2015,1
6.98623151453342,2015,2
7.00863382427628,2015,3
6.83760683760685,2015,4
7.08582834331341,2015,5
7.39087301587303,2015,6
7.57649344341918,2015,7
6.90485748695303,2015,8
7.18934614999498,2015,9
8.19688498402557,2015,10
10.4413669423134,2015,11
11.5717448178708,2015,12
12.0511259890444,2016,1
11.2913034664504,2016,2
10.2382875605816,2016,3
9.70104333868377,2016,4
10.0493583415597,2016,5
11.1286815576201,2016,6
10.4392916544369,2016,7
8.6180998873451,2016,8
7.89350770667912,2016,9
6.72695395404631,2016,10
4.75417230491656,2016,11
3.83297258297258,2016,12
5.12402679703061,2017,1
4.85428051001821,2017,2
4.35977285217072,2017,3
3.6854138088706,2017,4
3.35486185862935,2017,5
2.78370686588402,2017,6
2.71084337349398,2017,7
2.28176318063959,2017,8
3.38528138528138,2017,9
3.09527926681653,2017,10
3.84946606958319,2017,11
4.16051420133762,2017,12
2.04960385807785,2018,1
3.39616086163468,2018,2
4.51992276636827,2018,3
5.40659728347152,2018,4
4.1051900711682,2018,5
4.11006316518128,2018,6
4.57995514921511,2018,7
4.19131316545546,2018,8
3.86902269491668,2018,9
4.67963770546796,2018,10
4.14628078613484,2018,11
3.7108072048032,2018,12
4.57383966244726,2019,1
4.35147849462365,2019,2
4.19850533210177,2019,3
4.43477533260815,2019,4
5.29387244685285,2019,5
6.16688829787234,2019,6
6.02061855670104,2019,7
6.95052716950528,2019,8
6.15980004837538,2019,9
6.20092933824708,2019,10
5.75682777291185,2019,11
6.54498673313499,2019,12
6.82698515171078,2020,1
6.87489937208178,2020,2
6.69675235716013,2020,3
6.73824212803461,2020,4
5.83531274742675,2020,5
4.540472835447,2020,6
4.7763516141579,2020,7
3.49586714188215,2020,8
4.51887293992558,2020,9
3.7869643934822,2020,10
4.04306580334287,2020,11
2.92808089955475,2020,12
3.56549327693005,2021,1
3.021148036,2021,3
2.69659536,2021,2
3.100135115,2021,4
3.643300666,2021,5
4.193500075,2021,6
4.187393273,2021,7
4.352286049,2021,8
3.487865136,2021,9
4.244803024,2021,10
5.318764021,2021,11
5.645514223,2022,1
5.970368197,2022,2
8.643448954,2022,9
8.492539395,2022,10
7.757567531,2023,4
7.407655246,2023,5
6.83,2023,6
7.44,2023,7
